repo,distinct_hips_merged,matched_prs,total_prs
hiero-ledger/hiero-consensus-node,38,227,5065
hiero-ledger/hiero-mirror-node,35,194,3571
hiero-ledger/hiero-sdk-go,14,24,466
hiero-ledger/solo,13,13,2329
hiero-ledger/hiero-sdk-js,13,36,1043
hiero-ledger/hiero-sdk-java,13,27,587
hiero-ledger/hiero-sdk-cpp,13,15,489
hiero-ledger/hiero-sdk-swift,12,14,135
hiero-ledger/hiero-json-rpc-relay,11,12,1320
hiero-ledger/hiero-mirror-node-explorer,11,16,1002
hiero-ledger/hiero-sdk-rust,9,10,274
hiero-ledger/sdk-collaboration-hub,9,25,176
hiero-ledger/hiero-sdk-python,5,5,1038
hiero-ledger/hiero-block-node,4,9,1558
hiero-ledger/hiero-website,4,4,359
hiero-ledger/hiero-contracts,4,4,94
hiero-ledger/governance,3,3,547
hiero-ledger/hiero-sdk-tck,3,2,263
hiero-ledger/hiero-cli,2,2,561
hiero-ledger/tsc,2,2,145
hiero-ledger/hiero-local-node,1,2,263
hiero-ledger/hiero-docs,1,1,54
hiero-ledger/hiero-gradle-conventions,0,0,399
hiero-ledger/hiero-cryptography,0,0,367
hiero-ledger/hiero-enterprise-java,0,0,199
hiero-ledger/solo-docs,0,0,168
hiero-ledger/hiero-hederium,0,0,109
hiero-ledger/heka-identity-platform,0,0,107
hiero-ledger/homebrew-tools,0,0,78
hiero-ledger/hiero,0,0,75
hiero-ledger/hiero-solo-action,0,0,73
hiero-ledger/.github,0,0,55
hiero-ledger/hiero-did-sdk-js,0,0,54
hiero-ledger/hiero-did-sdk-python,0,0,45
hiero-ledger/hiero-consensus-specifications,0,0,29
hiero-ledger/awesome-contributions,0,0,16
hiero-ledger/tsc-eligibility-check,0,0,12
hiero-ledger/identity-collaboration-hub,0,0,11
hiero-ledger/hiero-ethereum-execution-spec-tests,0,0,3
